age_range,cell_type,count
65-70,respiratory basal cell,8
65-70,T cell,4
65-70,hematopoietic stem cell,3
65-70,fibroblast,2
65-70,lung pericyte,2
65-70,club cell,2
65-70,epithelial cell of alveolus of lung,2
65-70,type I pneumocyte,2
65-70,ionocyte,0
65-70,multi-ciliated epithelial cell,0
65-70,nasal mucosa goblet cell,0
65-70,tracheobronchial serous cell,0
65-70,lung neuroendocrine cell,0
65-70,bronchial goblet cell,0
65-70,tracheobronchial goblet cell,0
65-70,brush cell of trachebronchial tree,0
65-70,acinar cell,0
65-70,mucus secreting cell,0
65-70,serous secreting cell,0
65-70,mesothelial cell,0
65-70,respiratory hillock cell,0
