cell_type,sex,ann_level_4,0
T cell,male,Neuroendocrine,0
T cell,male,Non-classical monocytes,0
T cell,male,None,0
T cell,male,Peribronchial fibroblasts,0
T cell,male,Pericytes,0
T cell,male,Plasma cells,0
T cell,male,Plasmacytoid DCs,0
T cell,male,SMG duct,0
T cell,male,SMG mucous,0
T cell,male,SMG serous,0
T cell,male,Subpleural fibroblasts,0
T cell,male,Suprabasal,0
T cell,male,T cells proliferating,122
T cell,male,Transitional Club-AT2,0
T cell,male,Tuft,0
mast cell,female,AT2 proliferating,0
mast cell,female,Adventitial fibroblasts,0
mast cell,female,Alveolar fibroblasts,0
mast cell,female,Alveolar macrophages,0
mast cell,female,B cells,0
mast cell,female,Basal resting,0
mast cell,female,CD4 T cells,0
mast cell,female,CD8 T cells,0
mast cell,female,Classical monocytes,0
mast cell,female,Club,0
mast cell,female,DC1,0
mast cell,female,DC2,0
mast cell,female,Deuterosomal,0
mast cell,female,EC aerocyte capillary,0
mast cell,female,EC general capillary,0
mast cell,female,EC venous pulmonary,0
mast cell,female,EC venous systemic,0
mast cell,female,Goblet,0
mast cell,female,Hillock-like,0
mast cell,female,Interstitial macrophages,0
mast cell,female,Ionocyte,0
mast cell,female,Migratory DCs,0
mast cell,female,Multiciliated,0
mast cell,female,NK cells,0
mast cell,female,Neuroendocrine,0
mast cell,female,Non-classical monocytes,0
mast cell,female,None,3989
mast cell,female,Peribronchial fibroblasts,0
mast cell,female,Pericytes,0
mast cell,female,Plasma cells,0
mast cell,female,Plasmacytoid DCs,0
mast cell,female,SMG duct,0
mast cell,female,SMG mucous,0
mast cell,female,SMG serous,0
mast cell,female,Subpleural fibroblasts,0
mast cell,female,Suprabasal,0
mast cell,female,T cells proliferating,0
mast cell,female,Transitional Club-AT2,0
mast cell,female,Tuft,0
mast cell,male,AT2 proliferating,0
mast cell,male,Adventitial fibroblasts,0
mast cell,male,Alveolar fibroblasts,0
mast cell,male,Alveolar macrophages,0
mast cell,male,B cells,0
mast cell,male,Basal resting,0
mast cell,male,CD4 T cells,0
mast cell,male,CD8 T cells,0
mast cell,male,Classical monocytes,0
mast cell,male,Club,0
mast cell,male,DC1,0
mast cell,male,DC2,0
mast cell,male,Deuterosomal,0
mast cell,male,EC aerocyte capillary,0
mast cell,male,EC general capillary,0
mast cell,male,EC venous pulmonary,0
mast cell,male,EC venous systemic,0
mast cell,male,Goblet,0
mast cell,male,Hillock-like,0
mast cell,male,Interstitial macrophages,0
mast cell,male,Ionocyte,0
mast cell,male,Migratory DCs,0
mast cell,male,Multiciliated,0
mast cell,male,NK cells,0
mast cell,male,Neuroendocrine,0
mast cell,male,Non-classical monocytes,0
mast cell,male,None,2634
mast cell,male,Peribronchial fibroblasts,0
mast cell,male,Pericytes,0
mast cell,male,Plasma cells,0
mast cell,male,Plasmacytoid DCs,0
mast cell,male,SMG duct,0
mast cell,male,SMG mucous,0
mast cell,male,SMG serous,0
mast cell,male,Subpleural fibroblasts,0
mast cell,male,Suprabasal,0
mast cell,male,T cells proliferating,0
mast cell,male,Transitional Club-AT2,0
mast cell,male,Tuft,0
club cell,female,AT2 proliferating,0
club cell,female,Adventitial fibroblasts,0
club cell,female,Alveolar fibroblasts,0
club cell,female,Alveolar macrophages,0
club cell,female,B cells,0
club cell,female,Basal resting,0
club cell,female,CD4 T cells,0
club cell,female,CD8 T cells,0
club cell,female,Classical monocytes,0
club cell,female,Club,17645
club cell,female,DC1,0
club cell,female,DC2,0
club cell,female,Deuterosomal,0
club cell,female,EC aerocyte capillary,0
club cell,female,EC general capillary,0
club cell,female,EC venous pulmonary,0
club cell,female,EC venous systemic,0
club cell,female,Goblet,0
club cell,female,Hillock-like,0
club cell,female,Interstitial macrophages,0
club cell,female,Ionocyte,0
club cell,female,Migratory DCs,0
club cell,female,Multiciliated,0
club cell,female,NK cells,0
club cell,female,Neuroendocrine,0
club cell,female,Non-classical monocytes,0
club cell,female,None,0
club cell,female,Peribronchial fibroblasts,0
club cell,female,Pericytes,0
club cell,female,Plasma cells,0
club cell,female,Plasmacytoid DCs,0
club cell,female,SMG duct,0
club cell,female,SMG mucous,0
club cell,female,SMG serous,0
club cell,female,Subpleural fibroblasts,0
club cell,female,Suprabasal,0
club cell,female,T cells proliferating,0
club cell,female,Transitional Club-AT2,0
club cell,female,Tuft,0
club cell,male,AT2 proliferating,0
club cell,male,Adventitial fibroblasts,0
club cell,male,Alveolar fibroblasts,0
club cell,male,Alveolar macrophages,0
club cell,male,B cells,0
club cell,male,Basal resting,0
club cell,male,CD4 T cells,0
club cell,male,CD8 T cells,0
club cell,male,Classical monocytes,0
