cell_type,sex,ann_level_2,0
acinar cell,male,Fibroblast lineage,0
acinar cell,male,Hematopoietic stem cells,0
acinar cell,male,Lymphatic EC,0
acinar cell,male,Lymphoid,0
acinar cell,male,Mesothelium,0
acinar cell,male,Myeloid,0
acinar cell,male,Smooth muscle,0
acinar cell,male,Submucosal Gland,881
natural killer cell,female,Airway epithelium,0
natural killer cell,female,Alveolar epithelium,0
natural killer cell,female,Blood vessels,0
natural killer cell,female,Fibroblast lineage,0
natural killer cell,female,Hematopoietic stem cells,0
natural killer cell,female,Lymphatic EC,0
natural killer cell,female,Lymphoid,10061
natural killer cell,female,Mesothelium,0
natural killer cell,female,Myeloid,0
natural killer cell,female,Smooth muscle,0
natural killer cell,female,Submucosal Gland,0
natural killer cell,male,Airway epithelium,0
natural killer cell,male,Alveolar epithelium,0
natural killer cell,male,Blood vessels,0
natural killer cell,male,Fibroblast lineage,0
natural killer cell,male,Hematopoietic stem cells,0
natural killer cell,male,Lymphatic EC,0
natural killer cell,male,Lymphoid,6917
natural killer cell,male,Mesothelium,0
natural killer cell,male,Myeloid,0
natural killer cell,male,Smooth muscle,0
natural killer cell,male,Submucosal Gland,0
"CD4-positive, alpha-beta T cell",female,Airway epithelium,0
"CD4-positive, alpha-beta T cell",female,Alveolar epithelium,0
"CD4-positive, alpha-beta T cell",female,Blood vessels,0
"CD4-positive, alpha-beta T cell",female,Fibroblast lineage,0
"CD4-positive, alpha-beta T cell",female,Hematopoietic stem cells,0
"CD4-positive, alpha-beta T cell",female,Lymphatic EC,0
"CD4-positive, alpha-beta T cell",female,Lymphoid,12091
"CD4-positive, alpha-beta T cell",female,Mesothelium,0
"CD4-positive, alpha-beta T cell",female,Myeloid,0
"CD4-positive, alpha-beta T cell",female,Smooth muscle,0
"CD4-positive, alpha-beta T cell",female,Submucosal Gland,0
"CD4-positive, alpha-beta T cell",male,Airway epithelium,0
"CD4-positive, alpha-beta T cell",male,Alveolar epithelium,0
"CD4-positive, alpha-beta T cell",male,Blood vessels,0
"CD4-positive, alpha-beta T cell",male,Fibroblast lineage,0
"CD4-positive, alpha-beta T cell",male,Hematopoietic stem cells,0
"CD4-positive, alpha-beta T cell",male,Lymphatic EC,0
"CD4-positive, alpha-beta T cell",male,Lymphoid,9194
"CD4-positive, alpha-beta T cell",male,Mesothelium,0
"CD4-positive, alpha-beta T cell",male,Myeloid,0
"CD4-positive, alpha-beta T cell",male,Smooth muscle,0
"CD4-positive, alpha-beta T cell",male,Submucosal Gland,0
"CD8-positive, alpha-beta T cell",female,Airway epithelium,0
"CD8-positive, alpha-beta T cell",female,Alveolar epithelium,0
"CD8-positive, alpha-beta T cell",female,Blood vessels,0
"CD8-positive, alpha-beta T cell",female,Fibroblast lineage,0
